C1:1
C10:1
C14:1
C17:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
FB1:1
FB2:1
H1:1
H2:1
H3:1
H4:1
H5:1
H6:1
J1:1
J2:1
NT1:1
NT2:1
R1:1
R2:1
R3:1
R6:1
REF**:3
TP2:1
U1:1
U2:1
U3:1
U6:1
X1:1
